,date,Coldplay,Alphabet
0,2015-01-04,8,27
1,2015-01-11,8,21
2,2015-01-18,11,22
3,2015-01-25,4,23
4,2015-02-01,0,29
5,2015-02-08,3,34
6,2015-02-15,6,19
7,2015-02-22,2,21
8,2015-03-01,8,20
9,2015-03-08,0,31
10,2015-03-15,5,22
11,2015-03-22,7,20
12,2015-03-29,0,25
13,2015-04-05,0,22
14,2015-04-12,9,24
15,2015-04-19,9,11
16,2015-04-26,3,13
17,2015-05-03,7,29
18,2015-05-10,4,22
19,2015-05-17,10,24
20,2015-05-24,9,19
21,2015-05-31,14,23
22,2015-06-07,6,20
23,2015-06-14,0,26
24,2015-06-21,7,16
25,2015-06-28,4,9
26,2015-07-05,6,11
27,2015-07-12,3,14
28,2015-07-19,0,11
29,2015-07-26,5,14
30,2015-08-02,9,21
31,2015-08-09,0,41
32,2015-08-16,0,41
33,2015-08-23,16,38
34,2015-08-30,14,36
35,2015-09-06,8,35
36,2015-09-13,4,37
37,2015-09-20,5,30
38,2015-09-27,2,33
39,2015-10-04,6,33
40,2015-10-11,0,23
41,2015-10-18,3,27
42,2015-10-25,5,20
43,2015-11-01,11,15
44,2015-11-08,6,30
45,2015-11-15,8,29
46,2015-11-22,13,19
47,2015-11-29,12,24
48,2015-12-06,7,21
49,2015-12-13,12,21
50,2015-12-20,9,22
51,2015-12-27,6,12
52,2016-01-03,3,23
53,2016-01-10,9,19
54,2016-01-17,8,20
55,2016-01-24,13,18
56,2016-01-31,21,25
57,2016-02-07,100,17
58,2016-02-14,9,27
59,2016-02-21,5,21
60,2016-02-28,3,22
61,2016-03-06,8,24
62,2016-03-13,7,19
63,2016-03-20,8,20
64,2016-03-27,8,20
65,2016-04-03,8,25
66,2016-04-10,6,15
67,2016-04-17,5,22
68,2016-04-24,8,22
69,2016-05-01,5,18
70,2016-05-08,6,17
71,2016-05-15,4,23
72,2016-05-22,2,15
73,2016-05-29,9,13
74,2016-06-05,4,18
75,2016-06-12,5,13
76,2016-06-19,6,12
77,2016-06-26,8,10
78,2016-07-03,6,13
79,2016-07-10,5,17
80,2016-07-17,5,12
81,2016-07-24,11,13
82,2016-07-31,7,6
83,2016-08-07,7,15
84,2016-08-14,2,18
85,2016-08-21,18,25
86,2016-08-28,13,29
87,2016-09-04,5,26
88,2016-09-11,6,22
89,2016-09-18,6,27
90,2016-09-25,7,28
91,2016-10-02,0,25
92,2016-10-09,4,24
93,2016-10-16,2,23
94,2016-10-23,4,26
95,2016-10-30,2,26
96,2016-11-06,2,25
97,2016-11-13,5,24
98,2016-11-20,5,18
99,2016-11-27,4,22
100,2016-12-04,0,19
101,2016-12-11,6,26
102,2016-12-18,5,21
103,2016-12-25,7,18
104,2017-01-01,2,29
105,2017-01-08,4,18
106,2017-01-15,5,25
107,2017-01-22,4,26
108,2017-01-29,5,29
109,2017-02-05,3,25
110,2017-02-12,3,18
111,2017-02-19,6,21
112,2017-02-26,8,25
113,2017-03-05,6,30
114,2017-03-12,7,23
115,2017-03-19,10,18
116,2017-03-26,8,27
117,2017-04-02,3,19
118,2017-04-09,5,24
119,2017-04-16,2,22
120,2017-04-23,9,29
121,2017-04-30,7,21
122,2017-05-07,5,16
123,2017-05-14,7,20
124,2017-05-21,0,20
125,2017-05-28,0,21
126,2017-06-04,5,15
127,2017-06-11,5,19
128,2017-06-18,3,18
129,2017-06-25,8,20
130,2017-07-02,6,18
131,2017-07-09,6,13
132,2017-07-16,5,11
133,2017-07-23,8,13
134,2017-07-30,4,16
135,2017-08-06,6,17
136,2017-08-13,10,29
137,2017-08-20,2,23
138,2017-08-27,6,30
139,2017-09-03,6,23
140,2017-09-10,3,27
141,2017-09-17,2,14
142,2017-09-24,3,28
143,2017-10-01,3,35
144,2017-10-08,4,18
145,2017-10-15,6,15
146,2017-10-22,4,24
147,2017-10-29,10,23
148,2017-11-05,6,21
149,2017-11-12,6,26
150,2017-11-19,3,26
151,2017-11-26,5,20
152,2017-12-03,4,27
153,2017-12-10,5,16
154,2017-12-17,1,18
155,2017-12-24,8,12
156,2017-12-31,4,15
157,2018-01-07,5,29
158,2018-01-14,3,20
159,2018-01-21,2,23
160,2018-01-28,4,29
161,2018-02-04,4,16
162,2018-02-11,4,25
163,2018-02-18,2,25
164,2018-02-25,2,22
165,2018-03-04,4,23
166,2018-03-11,5,19
167,2018-03-18,3,24
168,2018-03-25,0,22
169,2018-04-01,8,16
170,2018-04-08,8,21
171,2018-04-15,4,16
172,2018-04-22,1,20
173,2018-04-29,3,16
174,2018-05-06,2,14
175,2018-05-13,3,16
176,2018-05-20,4,14
177,2018-05-27,2,13
178,2018-06-03,6,15
179,2018-06-10,2,19
180,2018-06-17,2,11
181,2018-06-24,2,13
182,2018-07-01,5,21
183,2018-07-08,3,17
184,2018-07-15,4,21
185,2018-07-22,3,17
186,2018-07-29,3,17
187,2018-08-05,3,20
188,2018-08-12,2,22
189,2018-08-19,3,33
190,2018-08-26,2,30
191,2018-09-02,4,24
192,2018-09-09,5,23
193,2018-09-16,2,20
194,2018-09-23,5,25
195,2018-09-30,6,26
196,2018-10-07,5,30
197,2018-10-14,2,21
198,2018-10-21,2,22
199,2018-10-28,0,26
200,2018-11-04,4,23
201,2018-11-11,0,20
202,2018-11-18,2,17
203,2018-11-25,2,21
204,2018-12-02,0,27
205,2018-12-09,5,18
206,2018-12-16,4,16
207,2018-12-23,4,14
208,2018-12-30,4,20
209,2019-01-06,2,22
210,2019-01-13,0,25
211,2019-01-20,2,24
212,2019-01-27,1,19
213,2019-02-03,2,25
214,2019-02-10,0,22
215,2019-02-17,2,18
216,2019-02-24,3,21
217,2019-03-03,5,24
218,2019-03-10,3,19
219,2019-03-17,2,19
220,2019-03-24,4,25
221,2019-03-31,0,25
222,2019-04-07,0,22
223,2019-04-14,1,16
224,2019-04-21,0,25
225,2019-04-28,1,24
226,2019-05-05,3,12
227,2019-05-12,3,19
228,2019-05-19,3,14
229,2019-05-26,2,17
230,2019-06-02,0,15
231,2019-06-09,3,21
232,2019-06-16,2,22
233,2019-06-23,6,17
234,2019-06-30,2,16
235,2019-07-07,3,11
236,2019-07-14,5,16
237,2019-07-21,3,15
238,2019-07-28,2,15
239,2019-08-04,1,20
240,2019-08-11,8,29
241,2019-08-18,2,26
242,2019-08-25,10,23
243,2019-09-01,3,25
244,2019-09-08,3,22
245,2019-09-15,0,26
246,2019-09-22,2,26
247,2019-09-29,2,27
248,2019-10-06,2,26
249,2019-10-13,0,21
250,2019-10-20,4,23
251,2019-10-27,3,24
252,2019-11-03,7,30
253,2019-11-10,5,33
254,2019-11-17,7,17
255,2019-11-24,6,19
256,2019-12-01,1,22
257,2019-12-08,2,17
258,2019-12-15,5,24
259,2019-12-22,2,18
260,2019-12-29,5,20
